c_word,c_label
"azure","Cloud provider"
"microsoft","IT company"
"google","IT company"
"python","IT language"
"java","IT language"
"javascript","IT language"
"typescript","IT language"
"bash","IT language"
"html","IT language"
"postgres","Current semantic"
"postgresql","Current semantic"
"opensource","Current semantic"
"database","Current semantic"
"databases","Current semantic"
"dbs","Current semantic"
"mongodb","Close semantic"
"mysql","Close semantic"
"redis","Close semantic"
"server","IT semantic"
"data","IT semantic"
"cloud","IT semantic"
"parquet","IT semantic"
"lake","IT semantic"
"clients","IT semantic"
"client","IT semantic"
"pgconf","Current semantic"
"storage","IT semantic"
"docker","IT semantic"
"query","IT semantic"
"table","IT semantic"
"sql","IT semantic"
"support","IT semantic"
"project","IT semantic"
"aws","Cloud provider"
"backend","IT semantic"
"react","IT semantic"
"app","IT semantic"
"api","IT semantic"
"json","IT semantic"
"software","IT semantic"
"engineer","IT semantic"
"queries","Close semantic"
"query","Close semantic"
"community","Close semantic"
"percona","IT company"
